planner,terrain,density,seed,obsFrac,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
priority,hilly,high,31044,0,7,3797.5,14.1446804661053,2.02066863801504,86.8596881959911,16,1327.99602758248,1,1,8.55373060679075,0
priority,hilly,high,31044,0,8,3597.5,14.1480233728141,1.76850292160176,85.0779510022272,16,1312.37453888828,1,1,8.51697185703997,0
priority,hilly,high,31044,0,9,3572.5,15.035450939211,1.67060565991234,86.9153674832962,17,1355.24951354381,1,1,8.60778361360686,0
priority,hilly,high,31044,0,10,3868.75,15.0252585376734,1.50252585376734,85.7461024498886,17,1479.82302297158,1,1,8.74262020654922,0
priority,hilly,high,31045,0,1,5973.75,10.5858427774223,10.5858427774223,85.5285472018089,12,1082.70809293392,0,1,0.421012893127905,0
priority,hilly,high,31045,0,2,3833.75,11.485764775478,5.74288238773901,86.5460712266817,13,1064.39420624192,0,1,0.208702600234338,0
priority,hilly,high,31045,0,3,3151.25,12.3708385993813,4.12361286646044,87.2809496890899,14,1058.88464504277,0,1,0.181436278252876,1
priority,hilly,high,31045,0,4,3463.75,15.0542837429637,3.76357093574093,85.1893725268513,17,1083.49061907037,1,1,8.42076642088079,0
priority,hilly,high,31045,0,5,3575,14.1281429806706,2.82562859613413,86.8287167891464,16,1127.82231405524,0,1,0.411027659130983,0
priority,hilly,high,31045,0,6,3020,12.3758228822298,2.0626371470383,85.1893725268513,14,1190.94377770579,1,1,8.28251422775452,0
priority,hilly,high,31045,0,7,2637.5,12.3824506222087,1.76892151745839,85.0197851893725,14,1151.87875795121,1,1,8.20264297399407,0
priority,hilly,high,31045,0,8,3177.5,14.1382021611224,1.76727527014029,86.4895421141888,16,1199.11809846582,1,1,8.42692942209974,0
priority,hilly,high,31045,0,9,3893.75,14.1365409023889,1.5707267669321,86.4895421141888,16,1399.01079158712,1,1,8.68900323993228,0
