terrain,density,seed,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
hilly,high,25217,6,3088.75,13.275959066981,2.21265984449683,87.1937639198218,15,1156.66000819894,1,1,8.17987794419063,0
hilly,high,25217,7,3443.75,14.1372508298295,2.01960726140422,86.5812917594655,16,1214.27130747238,1,1,8.30368066944496,0
hilly,high,25217,8,3993.75,15.0244513955976,1.87805642444971,86.6926503340757,17,1362.60177188216,1,1,8.50729762369927,0
hilly,high,25217,9,3970,15.0202629223428,1.66891810248253,85.9688195991091,17,1362.35455046174,1,1,8.50427842617525,0
hilly,high,25217,10,4220,15.9172048844054,1.59172048844054,86.804008908686,18,1441.01411353821,1,1,8.63163658879865,0
hilly,high,25217,11,4390,16.7823536400244,1.52566851272949,85.3563474387528,19,1518.12669395191,1,1,8.74738293792465,0
hilly,high,25217,12,4323.75,16.7916714356835,1.39930595297363,85.1893095768374,19,1542.4470943018,1,1,8.75579384296091,0
hilly,high,25218,1,5988.75,10.5763827250527,10.5763827250527,86.4969562811289,12,1082.86503061347,0,1,0.412913398182785,0
hilly,high,25218,2,3518.75,10.5924219577171,5.29621097885854,86.2755949086884,12,1066.75298094145,0,1,0.0490613909558293,1
hilly,high,25218,3,3617.5,14.1362733657584,4.71209112191947,86.1095738793581,16,1094.7428878009,0,1,0.228779082853466,0
hilly,high,25218,4,3210,13.2710002659013,3.31775006647533,85.666851134477,15,1059.68255775697,1,1,8.11398723081543,0
hilly,high,25218,5,3235,12.3706846995691,2.47413693991382,85.5008301051466,14,1145.0439461946,1,1,8.12705007742523,0
hilly,high,25218,6,3375,13.2369441378734,2.20615735631224,85.4454897620365,15,1193.09736382588,1,1,8.21061470685228,0
hilly,high,25218,7,3327.5,13.2676740286705,1.89538200409579,85.0581073602656,15,1257.24986142375,1,1,8.24081207689343,0
hilly,high,25218,8,3466.25,14.1321259604591,1.76651574505739,85.3901494189264,16,1268.28225618526,1,1,8.30349838378676,0
hilly,high,25218,9,3783.75,15.026561343296,1.66961792703288,86.8289983397897,17,1350.74495257332,1,1,8.43297306163644,0
hilly,high,25218,10,4333.75,16.7805856927649,1.67805856927649,86.2755949086884,19,1417.47858998712,1,1,8.62351660276012,0
hilly,high,25218,11,3815,15.9271528787268,1.44792298897516,86.0542335362479,18,1401.63374661402,1,1,8.50391487810907,0
hilly,high,25218,12,4717.5,17.6682758824851,1.47235632354043,85.224128389596,20,1598.25046672319,1,1,8.817004048583,0
hilly,high,25219,1,6025,10.5772135395539,10.5772135395539,85.2957435046987,12,1074.28747521344,0,1,0.401161305442018,0
hilly,high,25219,2,3803.75,11.4718594041749,5.73592970208746,87.3410724156993,13,1072.86551228223,0,1,0.132688062731618,0
hilly,high,25219,3,3113.75,12.3540765782409,4.1180255260803,85.9038142620232,14,1082.53575383415,0,1,0.0831381699247602,1
hilly,high,25219,4,3485,14.1157597009907,3.52893992524767,86.4013266998342,16,1103.40562097045,0,1,0.225789211244418,0
hilly,high,25219,5,3440,14.1376622124507,2.82753244249014,86.8988391376451,16,1157.23250300341,1,1,8.26449372558987,0
hilly,high,25219,6,3200,13.266242061901,2.21104034365016,86.2907683803206,15,1152.06522130854,1,1,8.19039818124569,0
hilly,high,25219,7,3285,13.2444233806991,1.89206048295701,86.0143725815368,15,1252.36498830566,1,1,8.28306710549977,0
hilly,high,25219,8,3927.5,14.1274022679868,1.76592528349835,85.5168601437258,16,1349.18671079499,1,1,8.48780823370252,0
